n,k_rate,tau_motor,tau_intensity,k_motor,kf_intensity,kb_intensity,fgain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,kb_kf_intensity_ratio_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
89,231.1044,0.8637,0.152,0.016556674771332637,244.8723684210526,0.6733990131578947,37.2206,0.0143,231.1044,0.8637,0.152,0.00275,1.3494716143749186,0.17158166119562993,6.372498797898505,0.2633798541079043,1.2464754251973686,4.912132288808268,29,29
90,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,0.0,37.2206,0.0143,231.1044,0.8637,0.1658,0.0,1.2426584445001745,0.1644031250896272,6.405939611420239,0.26157061531062586,1.2026679226737305,4.651529078567812,29,29
91,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,0.1544497756332931,37.2206,0.0143,231.1044,0.8637,0.1658,0.000688,1.2460492191805677,0.16447917803948972,6.392223201973242,0.2588900187760042,1.1992306273588242,4.644990104040686,29,29
92,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,0.30867506031363084,37.2206,0.0143,231.1044,0.8637,0.1658,0.001375,1.2539022128033879,0.16576026236073946,6.415551719832205,0.26147197105084957,1.2070286723575816,4.6833765105466965,29,29
93,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,0.4624513630880579,37.2206,0.0143,231.1044,0.8637,0.1658,0.00206,1.2630834030752445,0.16675271645167444,6.4216230789294,0.2620702782552033,1.2098245997910346,4.700047796218748,29,29
94,231.1044,0.8637,0.1658,0.016556674771332637,224.4909529553679,0.6173501206272617,37.2206,0.0143,231.1044,0.8637,0.1658,0.00275,1.2689935399528431,0.16709307573543272,6.437352783641737,0.2622985774906953,1.2151326058941736,4.728863311553983,29,29
95,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,0.0,37.2206,0.0143,231.1044,0.8637,0.1808,0.0,1.1683501909947511,0.1605779161544121,6.4196529749691,0.25942626237072725,1.1666233432268027,4.46102048342168,29,29
96,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,0.14163591150442478,37.2206,0.0143,231.1044,0.8637,0.1808,0.000688,1.179899304330254,0.16187229919141446,6.454781834733845,0.259556951258281,1.171330823654316,4.485886499089049,29,29
97,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,0.2830659568584071,37.2206,0.0143,231.1044,0.8637,0.1808,0.001375,1.177126270095724,0.1615897811843435,6.423428781697279,0.26002551267041385,1.1741916014072313,4.502032722823482,29,29
98,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,0.42408426991150444,37.2206,0.0143,231.1044,0.8637,0.1808,0.00206,1.1870125440769193,0.16228134722345972,6.430097443705871,0.26002272742007343,1.1766940708818878,4.517342131290266,29,29
99,231.1044,0.8637,0.1808,0.016556674771332637,205.86615044247787,0.5661319137168142,37.2206,0.0143,231.1044,0.8637,0.1808,0.00275,1.19765766733201,0.16343327999711424,6.459251321360883,0.26064009090806306,1.1777440864975746,4.525153666821851,29,29
100,231.1044,0.9419,0.1278,0.015182078776940227,291.24100156494524,0.0,37.2206,0.0143,231.1044,0.9419,0.1278,0.0,1.4936408891359625,0.176389094152112,6.095425407432285,0.25845093796727686,1.2835314171830325,5.159910025656176,29,29
101,231.1044,0.9419,0.1278,0.015182078776940227,291.24100156494524,0.2003738090766823,37.2206,0.0143,231.1044,0.9419,0.1278,0.000688,1.4925581149996223,0.176880737680057,6.114379329218895,0.2600416930314711,1.2838007549379793,5.165480996499117,29,29
102,231.1044,0.9419,0.1278,0.015182078776940227,291.24100156494524,0.40045637715179966,37.2206,0.0143,231.1044,0.9419,0.1278,0.001375,1.5013784637120564,0.17814521129135566,6.131763638531023,0.2593037766661408,1.2871092969459397,5.186597461253461,29,29
103,231.1044,0.9419,0.1278,0.015182078776940227,291.24100156494524,0.5999564632237872,37.2206,0.0143,231.1044,0.9419,0.1278,0.00206,1.5054307003864946,0.17846253898660575,6.122576774943555,0.2608499338165968,1.2917717972577578,5.209720566228178,29,29
