n,k_rate,tau_motor,tau_intensity,k_motor,k_intensity,gain_intensity_grid,gain_motor_grid,k_rate_grid,tau_motor_grid,tau_intensity_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
68,772.934,0.3762,0.026,0.06778309409888357,812.4038461538462,21.1225,0.0255,772.934,0.3762,0.026,1.987577955260465,0.24064760615641181,9.930184932114196,0.4547176227944122,1.9264677769586234,7.592962942993909,29,29
69,772.934,0.3762,0.0283,0.06778309409888357,746.3780918727915,21.1225,0.0255,772.934,0.3762,0.0283,2.0422838067765694,0.24827735404758738,10.202608981975143,0.4856656893105002,2.0416394562669202,7.999831588463259,29,29
70,772.934,0.4103,0.02,0.06214964660004874,1056.125,21.1225,0.0255,772.934,0.4103,0.02,1.7660096421639555,0.22465528301688648,9.03243738692419,0.37135968840523575,1.665884188812982,6.773882308551416,29,29
71,772.934,0.4103,0.0218,0.06214964660004874,968.9220183486239,21.1225,0.0255,772.934,0.4103,0.0218,1.7996346281272546,0.22618046906225978,9.27856812152288,0.3885097197720255,1.7230994033313398,6.9300958962493855,29,29
72,772.934,0.4103,0.0238,0.06214964660004874,887.4999999999999,21.1225,0.0255,772.934,0.4103,0.0238,1.8787578018554174,0.23084067249182164,9.549627893699357,0.40665728562062986,1.7956710794788175,7.14706646324862,29,29
73,772.934,0.4103,0.026,0.06214964660004874,812.4038461538462,21.1225,0.0255,772.934,0.4103,0.026,1.9630215459704994,0.2382506673490599,9.84072725287259,0.43170809515121944,1.8840810039878795,7.440318233338497,29,29
74,772.934,0.4103,0.0283,0.06214964660004874,746.3780918727915,21.1225,0.0255,772.934,0.4103,0.0283,2.028731097663761,0.24671591997585124,10.118278693624108,0.46371922466669135,1.9894679712933572,7.812119247238208,29,29
75,842.8905,0.2901,0.02,0.08790072388831437,1056.125,21.1225,0.0255,842.8905,0.2901,0.02,1.946796637723046,0.24038856564447744,9.564917650999442,0.49014834760600984,1.9272531575621799,7.811349920229525,29,29
76,842.8905,0.2901,0.0218,0.08790072388831437,968.9220183486239,21.1225,0.0255,842.8905,0.2901,0.0218,1.9464643345938168,0.24075070905005816,9.772241983267213,0.5010733908608804,1.9425402554408777,7.793554575559511,29,29
77,842.8905,0.2901,0.0238,0.08790072388831437,887.4999999999999,21.1225,0.0255,842.8905,0.2901,0.0238,2.0097600695435394,0.24743233907306775,10.02775129025334,0.5189291384907202,1.9947720035778889,7.907856824366647,29,29
78,842.8905,0.2901,0.026,0.08790072388831437,812.4038461538462,21.1225,0.0255,842.8905,0.2901,0.026,2.0852794160372006,0.25756736203695363,10.260862350732326,0.548306688966051,2.141956035208086,8.408775385236405,29,29
79,842.8905,0.2901,0.0283,0.08790072388831437,746.3780918727915,21.1225,0.0255,842.8905,0.2901,0.0283,2.1621845980159002,0.2688601582321949,10.482516648609348,0.5777906200362788,2.3888655283574285,9.399192768017743,29,29
80,842.8905,0.3164,0.02,0.08059418457648546,1056.125,21.1225,0.0255,842.8905,0.3164,0.02,1.9115102159722224,0.23800096809859939,9.424060407886568,0.4630312406548576,1.8773515773451446,7.6193845875827675,29,29
81,842.8905,0.3164,0.0218,0.08059418457648546,968.9220183486239,21.1225,0.0255,842.8905,0.3164,0.0218,1.9288606837650628,0.23818592095722896,9.65549420500941,0.4760224474226977,1.901923666447357,7.636483482873545,29,29
82,842.8905,0.3164,0.0238,0.08059418457648546,887.4999999999999,21.1225,0.0255,842.8905,0.3164,0.0238,1.978557242781528,0.24389181110859753,9.918708708731446,0.49425100857769844,1.9491571963724046,7.750131268421898,29,29
83,842.8905,0.3164,0.026,0.08059418457648546,812.4038461538462,21.1225,0.0255,842.8905,0.3164,0.026,2.0431492275929966,0.2521405556400587,10.176544019620236,0.5214872576929657,2.059812743143673,8.098418382612861,29,29
84,842.8905,0.3164,0.0283,0.08059418457648546,746.3780918727915,21.1225,0.0255,842.8905,0.3164,0.0283,2.1086060590044324,0.2615453363214321,10.405557554139742,0.5566203624525974,2.293806870655042,9.000775917977487,29,29
85,842.8905,0.345,0.02,0.07391304347826087,1056.125,21.1225,0.0255,842.8905,0.345,0.02,1.8759650808762411,0.2350487843936276,9.294670517274177,0.43743258606390567,1.8213940960603692,7.399464799493761,29,29
86,842.8905,0.345,0.0218,0.07391304347826087,968.9220183486239,21.1225,0.0255,842.8905,0.345,0.0218,1.9142262766050182,0.2350927898096785,9.552881593153343,0.45323419130003134,1.8668124669907182,7.508282490177097,29,29
87,842.8905,0.345,0.0238,0.07391304347826087,887.4999999999999,21.1225,0.0255,842.8905,0.345,0.0238,1.9647283107144558,0.24015501245922294,9.822717355391207,0.47172588418207234,1.9154766669384429,7.63690201927086,29,29
88,842.8905,0.345,0.026,0.07391304347826087,812.4038461538462,21.1225,0.0255,842.8905,0.345,0.026,2.018076032485054,0.2468253134161939,10.086777838771749,0.49499722814850394,1.9937548075708251,7.86221230844975,29,29
89,842.8905,0.345,0.0283,0.07391304347826087,746.3780918727915,21.1225,0.0255,842.8905,0.345,0.0283,2.072499219091012,0.2553777982255476,10.33261000909857,0.5295109580659154,2.171858657587431,8.509901406667177,29,29
90,842.8905,0.3762,0.02,0.06778309409888357,1056.125,21.1225,0.0255,842.8905,0.3762,0.02,1.829050784754419,0.23125299260644763,9.182697081967403,0.4135959292445983,1.7612049255192481,7.159997811585076,29,29
91,842.8905,0.3762,0.0218,0.06778309409888357,968.9220183486239,21.1225,0.0255,842.8905,0.3762,0.0218,1.868713441392151,0.23250728423095934,9.438106851265415,0.42871190052916247,1.8116992736800368,7.285679246757882,29,29
92,842.8905,0.3762,0.0238,0.06778309409888357,887.4999999999999,21.1225,0.0255,842.8905,0.3762,0.0238,1.923398400753147,0.2355789362304782,9.693449830786962,0.446553807029546,1.8635885853450553,7.426276915770338,29,29
93,842.8905,0.3762,0.026,0.06778309409888357,812.4038461538462,21.1225,0.0255,842.8905,0.3762,0.026,1.9892806373683989,0.24277471006376802,9.974138333240536,0.4722786234182218,1.9452572022817083,7.67641350753332,29,29
94,842.8905,0.3762,0.0283,0.06778309409888357,746.3780918727915,21.1225,0.0255,842.8905,0.3762,0.0283,2.03777962000481,0.25055852049416416,10.246608063641736,0.5047967759373042,2.0702913527783657,8.114350467404202,29,29
95,842.8905,0.4103,0.02,0.06214964660004874,1056.125,21.1225,0.0255,842.8905,0.4103,0.02,1.7865095534963686,0.22832656002928162,9.093192532617847,0.39139695815861714,1.7031834819474634,6.918552294047027,29,29
96,842.8905,0.4103,0.0218,0.06214964660004874,968.9220183486239,21.1225,0.0255,842.8905,0.4103,0.0218,1.8389111065156967,0.23048672820993993,9.336219899988679,0.40769670123941587,1.7703609927938966,7.123848860839234,29,29
97,842.8905,0.4103,0.0238,0.06214964660004874,887.4999999999999,21.1225,0.0255,842.8905,0.4103,0.0238,1.9039225187452777,0.23310358312939844,9.626805693838726,0.4268042928934899,1.830326569932417,7.301590596564007,29,29
98,842.8905,0.4103,0.026,0.06214964660004874,812.4038461538462,21.1225,0.0255,842.8905,0.4103,0.026,1.9765822275938514,0.24103680076209627,9.890926100869738,0.45020414342585613,1.9097762029568828,7.543001917532878,29,29
99,842.8905,0.4103,0.0283,0.06214964660004874,746.3780918727915,21.1225,0.0255,842.8905,0.4103,0.0283,2.034760330068047,0.24862908572249917,10.16435337344224,0.48100255141782905,2.0168500876359508,7.917527984968587,29,29
100,919.1786,0.2901,0.02,0.08790072388831437,1056.125,21.1225,0.0255,919.1786,0.2901,0.02,1.9645398664598264,0.24301380524170085,9.646342102017888,0.5076226621571145,1.9560352921199835,7.927358119197902,29,29
101,919.1786,0.2901,0.0218,0.08790072388831437,968.9220183486239,21.1225,0.0255,919.1786,0.2901,0.0218,1.9724433897945022,0.24357268449888256,9.85696934154174,0.519541255142441,1.9708422302643698,7.907343029030119,29,29
102,919.1786,0.2901,0.0238,0.08790072388831437,887.4999999999999,21.1225,0.0255,919.1786,0.2901,0.0238,2.0229038668201573,0.2504648631117146,10.105211131847076,0.5384267671724827,2.0180515044077865,8.001843848118,29,29
103,919.1786,0.2901,0.026,0.08790072388831437,812.4038461538462,21.1225,0.0255,919.1786,0.2901,0.026,2.1006164578131656,0.2609454539437266,10.300797830321788,0.564654606780145,2.1592442046915656,8.475942619083483,29,29
104,919.1786,0.2901,0.0283,0.08790072388831437,746.3780918727915,21.1225,0.0255,919.1786,0.2901,0.0283,2.1847536119049122,0.2721689378753449,10.543240397452005,0.5987239746383933,2.4727910195816936,9.747028649894125,29,29
105,919.1786,0.3164,0.02,0.08059418457648546,1056.125,21.1225,0.0255,919.1786,0.3164,0.02,1.9282392639183088,0.2395375940377803,9.495188749995785,0.48136514570522543,1.908659548502106,7.732789628379029,29,29
106,919.1786,0.3164,0.0218,0.08059418457648546,968.9220183486239,21.1225,0.0255,919.1786,0.3164,0.0218,1.9496075500142116,0.24166065076955584,9.732736267372333,0.49656259624461296,1.9360151333160425,7.77999295470213,29,29
107,919.1786,0.3164,0.0238,0.08059418457648546,887.4999999999999,21.1225,0.0255,919.1786,0.3164,0.0238,1.9965999380640969,0.24589391535973285,9.98079503450949,0.5129644641850795,1.9804378077679374,7.865176417019196,29,29
108,919.1786,0.3164,0.026,0.08059418457648546,812.4038461538462,21.1225,0.0255,919.1786,0.3164,0.026,2.0494102558468574,0.2537501657372989,10.2299401490887,0.5392120922224112,2.08526686041519,8.193115038548122,29,29
109,919.1786,0.3164,0.0283,0.08059418457648546,746.3780918727915,21.1225,0.0255,919.1786,0.3164,0.0283,2.1111531292041836,0.2638999250170281,10.45201350316669,0.5785217618142436,2.3767478632961034,9.335663019382592,29,29
110,919.1786,0.345,0.02,0.07391304347826087,1056.125,21.1225,0.0255,919.1786,0.345,0.02,1.9038934075374518,0.23769221656955206,9.36049089126208,0.45564110616216,1.8589134465380153,7.551769011819361,29,29
111,919.1786,0.345,0.0218,0.07391304347826087,968.9220183486239,21.1225,0.0255,919.1786,0.345,0.0218,1.9285669247087143,0.23748149087521578,9.607136542484067,0.4719357482074299,1.89647669389246,7.6305642972433,29,29
112,919.1786,0.345,0.0238,0.07391304347826087,887.4999999999999,21.1225,0.0255,919.1786,0.345,0.0238,1.9756303941469298,0.2424805280722338,9.877583366931264,0.48980737478175645,1.94328339581199,7.742860195995356,29,29
113,919.1786,0.345,0.026,0.07391304347826087,812.4038461538462,21.1225,0.0255,919.1786,0.345,0.026,2.0147403334960208,0.2484368161237186,10.12875911491923,0.513864190680966,2.016059136878394,7.9357520682183615,29,29
114,919.1786,0.345,0.0283,0.07391304347826087,746.3780918727915,21.1225,0.0255,919.1786,0.345,0.0283,2.0694287824699553,0.2572389096904695,10.39882193819082,0.5488895552698335,2.2019062718037254,8.630756905799764,29,29
115,919.1786,0.3762,0.02,0.06778309409888357,1056.125,21.1225,0.0255,919.1786,0.3762,0.02,1.8673105814238191,0.23496988368193567,9.240701166181656,0.43105041736338456,1.8046846023748757,7.334947716735544,29,29
116,919.1786,0.3762,0.0218,0.06778309409888357,968.9220183486239,21.1225,0.0255,919.1786,0.3762,0.0218,1.89821194344763,0.2357893597618235,9.500754573726386,0.44780738219135713,1.8498872899366914,7.446230778575059,29,29
117,919.1786,0.3762,0.0238,0.06778309409888357,887.4999999999999,21.1225,0.0255,919.1786,0.3762,0.0238,1.9505091379249875,0.2389283285805242,9.780766489694381,0.46601593491298854,1.9012404566881167,7.579751578351698,29,29
