n,tau,tau_motor,k_rate,k_motor,gain_rate_grid,tau_grid,gain_motor_grid,tau_motor_grid,swim_speed_err,omr_ratio_err,ssbf_ratio_err,bout_rate_err,bout_dist_err,bout_init_speed_err,num_conditions_np,num_valid_conditions_np
119,0.16,0.224,4419.41875,0.40625,707.107,0.16,0.091,0.224,5.096542486881101,0.5734914681170273,16.031068199056197,1.0078151388928185,0.5324922217662034,0.5680147680533572,29,29
120,0.16,0.056,4419.41875,2.2857142857142856,707.107,0.16,0.128,0.056,4.474838530709511,0.49531300446101184,12.761627301116105,0.8806321928659283,0.5327827992805947,0.5680147680533572,29,29
121,0.16,0.079,4419.41875,1.620253164556962,707.107,0.16,0.128,0.079,4.539529632880023,0.5068737967113197,13.301422208476016,0.9007065026641384,0.5327497864649022,0.5680147680533572,29,29
122,0.16,0.112,4419.41875,1.1428571428571428,707.107,0.16,0.128,0.112,4.715690399439293,0.523976208362152,13.99654120080319,0.9295428147357286,0.5326683169179128,0.5680147680533572,29,29
123,0.16,0.158,4419.41875,0.810126582278481,707.107,0.16,0.128,0.158,4.961759240031994,0.5561897933334863,15.190243304970998,0.9748266940688798,0.5325301655762734,0.5680147680533572,29,29
124,0.16,0.224,4419.41875,0.5714285714285714,707.107,0.16,0.128,0.224,5.37487450202826,0.605611426176618,16.842124747257884,1.0492474829251426,0.5323697684269619,0.5680147680533572,29,29
125,0.01,0.056,1000.0,0.5714285714285714,1000.0,0.01,0.032,0.056,1.507482398882469,0.19921448731241068,6.815744857613522,0.38853617734321905,0.40424342735368196,0.5680147680533576,29,29
126,0.01,0.079,1000.0,0.4050632911392405,1000.0,0.01,0.032,0.079,1.3665817760528962,0.1850813268656728,6.004649555819566,0.34875082224481707,0.39628682233634593,0.5680147680533576,29,29
127,0.01,0.112,1000.0,0.2857142857142857,1000.0,0.01,0.032,0.112,1.0822772052446585,0.15673504203427924,4.539144084102595,0.27508695826427754,0.3805318433015724,0.5680147680533576,29,29
128,0.01,0.158,1000.0,0.20253164556962025,1000.0,0.01,0.032,0.158,0.7506207316778536,0.12033932549146836,2.7956406883851224,0.18313152522713164,0.35453847773688846,0.5680147680533576,29,29
129,0.01,0.224,1000.0,0.14285714285714285,1000.0,0.01,0.032,0.224,0.471281332864685,0.09323414587592992,1.315868624130978,0.11264167979203495,0.3319398759091128,0.568014768053358,29,29
130,0.01,0.056,1000.0,0.8035714285714285,1000.0,0.01,0.045,0.056,1.2336558213896818,0.16840832827186453,5.205179887188058,0.31604143271330626,0.3914029186408772,0.5680147680533576,29,29
131,0.01,0.079,1000.0,0.5696202531645569,1000.0,0.01,0.045,0.079,1.028529317641389,0.1489446089623923,4.189491479927435,0.2600759274808815,0.37752956756750355,0.5680147680533576,29,29
132,0.01,0.112,1000.0,0.40178571428571425,1000.0,0.01,0.045,0.112,0.6821491798223596,0.11503272003386551,2.5411270745177013,0.16638614654210174,0.34845503232757086,0.568014768053358,29,29
133,0.01,0.158,1000.0,0.28481012658227844,1000.0,0.01,0.045,0.158,0.44190189403714764,0.09043724621046337,1.1299187485480606,0.09848430574872677,0.3233300591670282,0.568014768053358,29,29
134,0.01,0.224,1000.0,0.20089285714285712,1000.0,0.01,0.045,0.224,0.7153219869091563,0.09169574064611508,2.617786804132458,0.1534219077718875,0.3032279390526459,0.5680147680533582,29,29
135,0.01,0.056,1000.0,1.1428571428571428,1000.0,0.01,0.064,0.056,0.8289709841515822,0.12572335122590542,2.991944110334672,0.20673809948252644,0.3647853159001915,0.5680147680533576,29,29
136,0.01,0.079,1000.0,0.810126582278481,1000.0,0.01,0.064,0.079,0.5932264532647196,0.10447232538739207,1.981098043652029,0.14626778748536323,0.3435304913319158,0.568014768053358,29,29
137,0.01,0.112,1000.0,0.5714285714285714,1000.0,0.01,0.064,0.112,0.4272138792672401,0.08758633470186775,1.2186929651856568,0.0983748671966232,0.3195523912303436,0.568014768053358,29,29
138,0.01,0.158,1000.0,0.4050632911392405,1000.0,0.01,0.064,0.158,0.8124909694155429,0.09613631591159158,2.9303463661762037,0.17171059412821785,0.2986044833242253,0.5680147680533582,29,29
